geo_code_long,GEO_NAME,year,raceth,racethd,immig,sex,racethdimmigsex,phhnocar_acsglyt,nhhnocar_acsglyt,phhrent_acsglyt,pbaplus_acsglyt,pnhw_acsglyt,pnhb_acsglyt,phis_acsglyt,pnhapi_acsglyt,pnaian_acsglyt,pnhoo_acsglyt,ppoc_acsglyt
04000000000005089,"Marion, AR",2000,All,All,All,All people,All,.0543,368,.1997,.1044,.9694,.0011,.0076,.0025,.0073,.0121,.0306
04000000000005091,"Miller, AR",2000,All,All,All,All people,All,.0878,1373,.3206,.1252,.7320,.2287,.0158,.0039,.0061,.0135,.2680
04000000000005093,"Mississippi, AR",2000,All,All,All,All people,All,.1247,2412,.4114,.1130,.6356,.3253,.0225,.0040,.0023,.0103,.3644
04000000000005095,"Monroe, AR",2000,All,All,All,All people,All,.1629,667,.3507,.0838,.5854,.3866,.0129,.0014,.0024,.0113,.4146
04000000000005097,"Montgomery, AR",2000,All,All,All,All people,All,.0632,238,.1716,.0875,.9454,.0029,.0253,.0038,.0111,.0115,.0546
04000000000005099,"Nevada, AR",2000,All,All,All,All people,All,.1030,401,.2520,.1073,.6648,.3102,.0152,.0006,.0036,.0056,.3352
04000000000005101,"Newton, AR",2000,All,All,All,All people,All,.0900,315,.1851,.1182,.9681,.0014,.0108,.0017,.0053,.0127,.0319
04000000000005103,"Ouachita, AR",2000,All,All,All,All people,All,.1097,1276,.2861,.1274,.5944,.3850,.0073,.0026,.0024,.0083,.4056
04000000000005105,"Perry, AR",2000,All,All,All,All people,All,.0534,213,.1787,.1108,.9512,.0173,.0118,.0014,.0080,.0103,.0488
04000000000005107,"Phillips, AR",2000,All,All,All,All people,All,.2091,2031,.4372,.1236,.3874,.5859,.0144,.0031,.0017,.0074,.6126
04000000000005109,"Pike, AR",2000,All,All,All,All people,All,.0708,319,.2136,.1006,.9121,.0346,.0357,.0016,.0058,.0102,.0879
04000000000005111,"Poinsett, AR",2000,All,All,All,All people,All,.1001,1004,.3315,.0632,.9047,.0709,.0143,.0017,.0019,.0066,.0953
04000000000005113,"Polk, AR",2000,All,All,All,All people,All,.0636,511,.2160,.1094,.9311,.0016,.0350,.0027,.0141,.0155,.0689
04000000000005115,"Pope, AR",2000,All,All,All,All people,All,.0531,1101,.2880,.1899,.9278,.0258,.0206,.0065,.0066,.0128,.0722
04000000000005117,"Prairie, AR",2000,All,All,All,All people,All,.0930,363,.2726,.0911,.8450,.1367,.0081,.0017,.0035,.0051,.1550
04000000000005119,"Pulaski, AR",2000,All,All,All,All people,All,.0841,12438,.3912,.2811,.6291,.3174,.0244,.0126,.0036,.0129,.3709
04000000000005121,"Randolph, AR",2000,All,All,All,All people,All,.0653,475,.2547,.1061,.9650,.0096,.0082,.0008,.0051,.0113,.0350
04000000000005123,"St Francis, AR",2000,All,All,All,All people,All,.1610,1617,.3678,.0961,.4509,.4867,.0488,.0056,.0022,.0059,.5491
04000000000005125,"Saline, AR",2000,All,All,All,All people,All,.0416,1322,.1930,.1637,.9454,.0217,.0130,.0059,.0047,.0093,.0546
